dish_id,calories,serving_size,protein,fat,carbs,ingredient_id_1,ingredient_name_1,amount_1,calories_1,fat_1,carb_1,protein_1,ingredient_id_2,ingredient_name_2,amount_2,calories_2,fat_2,carb_2,protein_2,ingredient_id_3,ingredient_name_3,amount_3,calories_3,fat_3,carb_3,protein_3,ingredient_id_4,ingredient_name_4,amount_4,calories_4,fat_4,carb_4,protein_4,ingredient_id_5,ingredient_name_5,amount_5,calories_5,fat_5,carb_5,protein_5,ingredient_id_6,ingredient_name_6,amount_6,calories_6,fat_6,carb_6,protein_6,ingredient_id_7,ingredient_name_7,amount_7,calories_7,fat_7,carb_7,protein_7,ingredient_id_8,ingredient_name_8,amount_8,calories_8,fat_8,carb_8,protein_8
dish_1572974428,0.0,74.0,0.0,0.0,0.0,ingr_0000000032,tomatoes,15.57224,5.2945616,0.10900568,1.05891232,0.10900568,ingr_0000000042,avocado,23.358358,37.3733728,3.5037537,2.10225222,0.46716716,ingr_0000000098,multigrain bread,13.732376,39.233398232,1.263378592,6.72886424,0.563027416,ingr_0000000161,olive oil,3.89306,34.4146504,3.89306,0.0,0.0,ingr_0000000281,edamame,15.57224,18.9981328,0.79418424,1.52607952,1.7129464,ingr_0000000291,salt,0.045775,0.0,0.0,0.0,0.0,ingr_0000000364,sunflower seeds,1.14116,6.2307336,0.57058,0.171174,0.2168204,ingr_0000000531,pumpkin seeds,0.684788,3.05415448,0.13010972,0.36978552,0.13010972
dish_1572464692,0.0,56.0,0.0,0.0,0.0,ingr_0000000442,hummus,56.0,92.96,5.376,7.84,4.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1571931594,0.0,66.0,0.0,0.0,0.0,ingr_0000000433,roasted potatoes,66.0,93.06,4.488,11.88,1.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1575478635,0.0,132.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,132.0,195.36,14.52,2.112,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572887017,0.0,274.0,0.0,0.0,0.0,ingr_0000000015,hash browns,43.0,140.18,9.46,13.76,1.118,ingr_0000000128,egg whites,192.5,100.1,0.385,1.3475,19.25,ingr_0000000475,salsa,38.5,11.165,0.077,2.541,0.5775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572984706,0.0,118.0,0.0,0.0,0.0,ingr_0000000007,cauliflower,114.253265,28.56331625,0.342759795,5.71266325,2.05655877,ingr_0000000161,olive oil,2.142249,18.93748116,2.142249,0.0,0.0,ingr_0000000291,salt,0.012594,0.0,0.0,0.0,0.0,ingr_0000000448,jalapenos,1.428166,0.41416814,0.005712664,0.09283079,0.012853494,ingr_0000000527,chive,0.163726,0.0491178,0.001146082,0.007203944,0.005402958,,,,,,,,,,,,,,,,,,,,,
dish_1572453726,0.0,160.0,0.0,0.0,0.0,ingr_0000000015,hash browns,75.0,244.5,16.5,24.0,1.95,ingr_0000000027,broccoli,45.853661,16.04878135,0.183414644,3.20975627,1.100487864,ingr_0000000039,sausage,38.0,130.948,10.374,1.596,7.334,ingr_0000000161,olive oil,1.146341,10.13365444,1.146341,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572540238,0.0,236.0,0.0,0.0,0.0,ingr_0000000002,strawberries,46.0,15.18,0.138,3.68,0.322,ingr_0000000008,scrambled eggs,68.0,100.64,7.48,1.088,6.8,ingr_0000000039,sausage,38.0,130.948,10.374,1.596,7.334,ingr_0000000433,roasted potatoes,84.0,118.44,5.712,15.12,1.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573762622,0.0,477.0,0.0,0.0,0.0,ingr_0000000076,brisket,202.380951,314.095235952,14.571428472,0.0,42.49999971,ingr_0000000161,olive oil,3.638628,32.16547152,3.638628,0.0,0.0,ingr_0000000243,mozzarella cheese,14.554514,40.403330864,2.488821894,0.465744448,4.07526392,ingr_0000000254,mashed potatoes,202.380951,183.559522557,5.869047579,30.559523601,3.440476167,ingr_0000000441,butter,20.238096,145.10714832,16.39285776,0.020238096,0.161904768,ingr_0000000521,basil,3.638628,0.87327072,0.0,0.07277256,0.14554512,ingr_0000000549,,19.252342,45.33926541,0.904860074,8.028226614,1.039626468,ingr_0000000551,,10.915886,3.16560694,0.021831772,0.76411202,0.141906518
dish_1571931457,0.0,44.0,0.0,0.0,0.0,ingr_0000000039,sausage,44.0,151.624,12.012,1.848,8.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
